Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;GASOLINA ADITIVADA;09/07/2026;6,89;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;GASOLINA ADITIVADA;09/07/2026;6,86;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO ESTRELA DA 101 LTDA; 74.008.566/0001-04;RODOVIA MARGEM BR 101;SN;KM 108;POSTO;48010-970;GASOLINA ADITIVADA;09/07/2026;6,95;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;GASOLINA ADITIVADA;09/07/2026;6,73;;R$ / litro;PETROBAHIA
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;RAIZEN
NE;BA;ILHEUS;POSTO DE SERVICOS DOM EDUARDO LTDA.; 13.631.353/0001-31;AVENIDA ITABUNA;1814;MODULOS A E B;BASILIO;45658-565;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;BRANCA
NE;BA;ILHEUS;DERIVADOS DE PETROLEO LELEU LTDA; 13.497.953/0001-59;AVENIDA ITABUNA;2282;;CENTRO;45653-160;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;IPIRANGA
NE;BA;ILHEUS;COMERCIAL SAVOIA LTDA; 02.366.787/0001-35;AVENIDA RAYMUNDO SA BARRETO;S/N;LOTES 26 27 E 28;JARDIM SAVOIA;45658-250;GASOLINA ADITIVADA;09/07/2026;7,14;;R$ / litro;BRANCA
NE;BA;ILHEUS;AM DERIVADOS DE PETROLEO E COMERCIO LTDA; 00.175.819/0001-90;AVENIDA PETROBRAS;100;TERREO;CENTRO;45652-155;GASOLINA ADITIVADA;06/07/2026;7,24;;R$ / litro;IPIRANGA
NE;BA;IRECE;POSTO QUATRO RODAS LTDA; 02.336.040/0001-34;AVENIDA PRIMEIRO  DE JANEIRO;61;LOTE 07, QUADRA   C;JARDIM LIBORIO;44900-000;GASOLINA ADITIVADA;09/07/2026;7,13;;R$ / litro;VIBRA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;GASOLINA ADITIVADA;07/07/2026;7,38;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;GASOLINA ADITIVADA;06/07/2026;7,08;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;PARENTES REVENDA DE PRODUTOS DE PETROLEO LTDA.; 05.481.141/0001-97;AVENIDA CENTENARIO;1600;;NAZARE;44700-000;GASOLINA ADITIVADA;06/07/2026;6,95;;R$ / litro;BRANCA
NE;BA;JACOBINA;TROPICAL COMBUSTIVEIS E LUBRIFICANTES LTDA; 07.856.330/0001-22;RUA FRANCISCO ROCHA PIRES;300;;CENTRO;44700-000;GASOLINA ADITIVADA;07/07/2026;7,09;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;RAIZEN
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GASOLINA ADITIVADA;07/07/2026;7,05;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;VIBRA
NE;BA;JEQUIE;PITU COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.891.624/0001-71;AVENIDA GOVERNADOR LOMANTO JUNIOR;220;;CENTRO;45202-130;GASOLINA ADITIVADA;07/07/2026;6,62;;R$ / litro;BRANCA
NE;BA;POCOES;POSTO NOSSA SENHORA APARECIDA LTDA; 07.930.629/0001-80;AVENIDA VITORIA DA CONQUISTA;1580;;SAO PAULO;45260-000;GASOLINA ADITIVADA;08/07/2026;6,95;;R$ / litro;BRANCA
NE;BA;POCOES;AUTO POSTO REFORCO LTDA; 13.315.486/0001-07;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;754;RODOVIA BR 116      KM    758;TIRADENTES;45264-580;GASOLINA ADITIVADA;08/07/2026;7,05;;R$ / litro;VIBRA
NE;BA;PORTO SEGURO;AUTO POSTO NAVEGANTES LTDA; 07.200.913/0001-09;AVENIDA AVENIDA DOS NAVEGANTES;311;;CENTRO;45810-000;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;BRANCA
NE;BA;PORTO SEGURO;PORTAL POSTO DE COMBUSTIVEIS LTDA; 07.064.096/0001-09;AVENIDA ADNO MUSSER;3600;TERREO;CAMBOLO;45810-000;GASOLINA ADITIVADA;07/07/2026;7,39;;R$ / litro;VIBRA
NE;BA;PORTO SEGURO;SULBAHIA COMBUSTIVEIS LTDA; 05.841.787/0001-38;AVENIDA ADNO MUSSER;3200;;MIRANTE CARAVELAS;45810-000;GASOLINA ADITIVADA;07/07/2026;7,55;;R$ / litro;RAIZEN
NE;BA;PORTO SEGURO;LESTE DERIVADOS DE PETROLEO LTDA; 01.700.901/0001-59;AVENIDA ADNO MUSSER;1960;LOT PARQUE RESIDENCIAL TABAPIRI;TABAPIRI;45810-000;GASOLINA ADITIVADA;07/07/2026;7,55;;R$ / litro;RAIZEN
NE;BA;SALVADOR;FLAMINGO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E SERVICOS LTDA; 08.750.716/0001-18;AVENIDA PROFESSOR MANOEL RIBEIRO;861;LOTE  1                   QUADRAC                         PARQUE DA LAGOA;STIEP;41770-095;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;VIBRA
NE;BA;SALVADOR;ECOPOSTOS - COMBUSTIVEIS E SERVICOS LTDA; 04.420.464/0004-50;AVENIDA BARROS REIS - LADO PAR;2938;ARRAIAL DO RETIRO;ARRAIAL DO RETIRO;41204-025;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;VIBRA
NE;BA;SALVADOR;ECOPOSTOS - COMBUSTIVEIS E SERVICOS LTDA; 04.420.464/0003-70;AVENIDA PROFESSOR PINTO DE AGUIAR;650;;PITUACU;41740-090;GASOLINA ADITIVADA;07/07/2026;7,39;;R$ / litro;VIBRA
